//最初のデータは道路。設定は固定なので消さないこと。
■
G    0    0    0    0 1000    0 1000 1000    0 1000    0    0 160 160 160
END

//以下は任意のオブジェクト。
Ａ
N    0 1000    0    0 1000 2000 1000 1000 2000 1000 1000    0   0   0 119
E 1000    0    0 1000    0 2000 1000 1000 2000 1000 1000    0   0   0 136
S    0    0    0    0    0 2000 1000    0 2000 1000    0    0   0   0 153
W    0 1000    0    0 1000 2000    0    0 2000    0    0    0   0   0 136
END

Ｂ
N  200  800    0  200  800 3000  800  800 3000  800  800    0   0 119   0
E  800  800    0  800  800 3000  800  200 3000  800  200    0   0 136   0
S  200  200    0  200  200 3000  800  200 3000  800  200    0   0 153   0
W  200  800    0  200  800 3000  200  200 3000  200  200    0   0 136   0
END
